Nama Prodi,Nama PT,Jenjang
Kebidanan,AKADEMI KEBIDANAN AL-ISHLAH CILEGON,D-III
Kebidanan,AKADEMI KEBIDANAN AN-NUR PURWODADI,D-III
Kebidanan,AKADEMI KEBIDANAN ANUGERAH BINTAN,D-III
Kebidanan,AKADEMI KEBIDANAN AR-RAHMA,D-III
Kebidanan,AKADEMI KEBIDANAN AR-RUM SALATIGA,D-III
Kebidanan,AKADEMI KEBIDANAN AUDI HUSADA MEDAN,D-III
Kebidanan,AKADEMI KEBIDANAN BANDUNG,D-III
Kebidanan,AKADEMI KEBIDANAN BARUNA HUSADA SIBUHUAN,D-III
Kebidanan,AKADEMI KEBIDANAN BHAKTI HUSADA CIKARANG,D-III
Kebidanan,AKADEMI KEBIDANAN BHAKTI PURNA HUSADA,D-III
Kebidanan,AKADEMI KEBIDANAN BHAKTI PUTRA BANGSA PURWOREJO,D-III
Kebidanan,AKADEMI KEBIDANAN BUDI MULIA,D-III
Kebidanan,AKADEMI KEBIDANAN BUTON RAYA,D-III
Kebidanan,AKADEMI KEBIDANAN CIANJUR,D-III
Kebidanan,AKADEMI KEBIDANAN DARMO MEDAN,D-III
Kebidanan,AKADEMI KEBIDANAN DARUSSALAM,D-III
Kebidanan,AKADEMI KEBIDANAN DEHASEN BENGKULU,D-III
Kebidanan,AKADEMI KEBIDANAN DELI HUSADA DELITUA MEDAN,D-III
Kebidanan,AKADEMI KEBIDANAN DHARMA HUSADA KEDIRI,D-III
Kebidanan,AKADEMI KEBIDANAN GEMILANG HUSADA KOTABUMI,D-III
Kebidanan,AKADEMI KEBIDANAN GRAHA MANDIRI CILACAP,D-III
Kebidanan,AKADEMI KEBIDANAN GRIYA HUSADA,D-III
Kebidanan,AKADEMI KEBIDANAN HARAPAN BUNDA,D-III
Kebidanan,AKADEMI KEBIDANAN HARAPAN KELUARGA,D-III
Kebidanan,AKADEMI KEBIDANAN HARAPAN MULYA PONOROGO,D-III
Kebidanan,AKADEMI KEBIDANAN HELVETIA MEDAN,D-III
Kebidanan,AKADEMI KEBIDANAN HUSADA GEMILANG,D-III
Kebidanan,AKADEMI KEBIDANAN IBRAHIMY,D-III
Kebidanan,AKADEMI KEBIDANAN IKA BINA LABUHAN BATU,D-III
Kebidanan,AKADEMI KEBIDANAN IMAM BONJOL,D-III
Kebidanan,AKADEMI KEBIDANAN INTERNASIONAL PEKANBARU,D-III
Kebidanan,AKADEMI KEBIDANAN KAMANRE PALOPO,D-III
Kebidanan,AKADEMI KEBIDANAN KARYA BUNDA HUSADA,D-III
Kebidanan,AKADEMI KEBIDANAN KERIS HUSADA,D-III
Kebidanan,AKADEMI KEBIDANAN LAPATAU BONE,D-III
Kebidanan,AKADEMI KEBIDANAN MANDIRI GRESIK,D-III
Kebidanan,AKADEMI KEBIDANAN MATORKIS,D-III
Kebidanan,AKADEMI KEBIDANAN MENARA BUNDA,D-III
Kebidanan,AKADEMI KEBIDANAN MITRA HUSADA MEDAN,D-III
Kebidanan,AKADEMI KEBIDANAN MITRA SEHAT SIDOARJO,D-III
Kebidanan,AKADEMI KEBIDANAN MITRA SYUHADA PADANGSIDIMPUAN,D-III
Kebidanan,AKADEMI KEBIDANAN MUNAWARRAH BIREUEN,D-III
Kebidanan,AKADEMI KEBIDANAN MUTIARA MAHAKAM,D-III
Kebidanan,AKADEMI KEBIDANAN NAMIRA KOTANOPAN,D-III
Kebidanan,AKADEMI KEBIDANAN NUSANTARA JAYA,D-III
Kebidanan,AKADEMI KEBIDANAN PAMENANG,D-III
Kebidanan,AKADEMI KEBIDANAN PANTI WILASA,D-III
Kebidanan,AKADEMI KEBIDANAN PASAMAN BARAT,D-III
Kebidanan,AKADEMI KEBIDANAN PELITA ILMU,D-III
Kebidanan,AKADEMI KEBIDANAN PEMERINTAH KABUPATEN KARO KABANJAHE,D-III
Kebidanan,AKADEMI KEBIDANAN PEMERINTAH PROVINSI BALI SINGARAJA,D-III
Kebidanan,AKADEMI KEBIDANAN PERSADA WAJO,D-III
Kebidanan,AKADEMI KEBIDANAN PETRO MANDAU HUSADA,D-III
Kebidanan,AKADEMI KEBIDANAN PGRI KEDIRI,D-III
Kebidanan,AKADEMI KEBIDANAN PRIMA INDONESIA,D-III
Kebidanan,AKADEMI KEBIDANAN PRIMA SENGKANG,D-III
Kebidanan,AKADEMI KEBIDANAN RESPATI,D-III
Kebidanan,AKADEMI KEBIDANAN RSPAD GATOT SOEBROTO,D-III
Kebidanan,AKADEMI KEBIDANAN SANDI KARSA,D-III
Kebidanan,AKADEMI KEBIDANAN SARI MUTIARA MEDAN,D-III
Kebidanan,AKADEMI KEBIDANAN SITI FATIMAH,D-III
Kebidanan,AKADEMI KEBIDANAN ST. BENEDICTA PONTIANAK,D-III
Kebidanan,AKADEMI KEBIDANAN UMMI KHASANAH,D-III
Kebidanan,AKADEMI KEBIDANAN WAHANA HUSADA BANDAR JAYA,D-III
Kebidanan,AKADEMI KEBIDANAN WIJAYA HUSADA,D-III
Kebidanan,AKADEMI KEBIDANAN WIRA HUSADA NUSANTARA,D-III
Kebidanan,AKADEMI KEBIDANAN YAPKESBI BANJARBARU,D-III
Kebidanan,AKADEMI KEBIDANAN YAPPI SRAGEN,D-III
Kebidanan,AKADEMI KEBIDANAN YAYASAN KESEHATAN NASIONAL,D-III
Kebidanan,AKADEMI KEBIDANAN YAYASAN PENDIDIKAN MONA,D-III
Ketatalaksanaan Pelayaran Niaga Dan Kepelabuhan,Akademi Kelautan Banyuwangi,D-III
Keperawatan,AKADEMI KEPERAWATAN AISYIYAH PADANG,D-III
Keperawatan,AKADEMI KEPERAWATAN ARTA KABANJAHE,D-III
Keperawatan,Akademi Keperawatan As-Syafi`iyah,D-III
Keperawatan,AKADEMI KEPERAWATAN BAITURRAHMAH PADANG,D-III
Keperawatan,AKADEMI KEPERAWATAN BALA KESELAMATAN,D-III
Keperawatan,AKADEMI KEPERAWATAN BARAMULI,D-III
Keperawatan,AKADEMI KEPERAWATAN BINA INSAN JAKARTA,D-III
Keperawatan,AKADEMI KEPERAWATAN BINA INSANI SAKTI,D-III
Keperawatan,AKADEMI KEPERAWATAN BUNTET PESANTREN,D-III
Keperawatan,AKADEMI KEPERAWATAN DARMO MEDAN,D-III
Keperawatan,AKADEMI KEPERAWATAN DELI HUSADA DELITUA MEDAN,D-III
Keperawatan,AKADEMI KEPERAWATAN DHARMA HUSADA PEKANBARU,D-III
Keperawatan,AKADEMI KEPERAWATAN DR. SOEDONO PROVINSI JAWA TIMUR,D-III
Keperawatan,AKADEMI KEPERAWATAN FATMAWATI,D-III
Keperawatan,AKADEMI KEPERAWATAN GITA MATURA ABADI KISARAN,D-III
Keperawatan,AKADEMI KEPERAWATAN HARUM,D-III
Keperawatan,AKADEMI KEPERAWATAN HUSADA KARYA JAYA,D-III
Keperawatan,AKADEMI KEPERAWATAN IBNU SINA KOTA SABANG,D-III
Keperawatan,AKADEMI KEPERAWATAN INTAN MARTAPURA,D-III
Keperawatan,AKADEMI KEPERAWATAN KALTARA TARAKAN,D-III
Keperawatan,AKADEMI KEPERAWATAN KARYA BHAKTI NUSANTARA,D-III
Keperawatan,AKADEMI KEPERAWATAN KESDAM I/ BUKIT BARISAN,D-III
Keperawatan,AKADEMI KEPERAWATAN KESDAM I/BUKIT BARISAN PADANG,D-III
Keperawatan,AKADEMI KEPERAWATAN KESDAM I/BUKIT BARISAN PEMATANG SIANTAR,D-III
Keperawatan,AKADEMI KEPERAWATAN KESDAM II SRIWIJAYA,D-III
Keperawatan,AKADEMI KEPERAWATAN KESDAM IV/DIPONEGORO,D-III
Keperawatan,AKADEMI KEPERAWATAN KESDAM IX/UDAYANA,D-III
Keperawatan,AKADEMI KEPERAWATAN KESDAM VI/TANJUNGPURA,D-III
Keperawatan,AKADEMI KEPERAWATAN MARANATHA GROUPS,D-III
Keperawatan,AKADEMI KEPERAWATAN NABILA,D-III
Keperawatan,AKADEMI KEPERAWATAN NGESTI WALUYO PARAKAN,D-III
Keperawatan,AKADEMI KEPERAWATAN NOTOKUSUMO,D-III
Keperawatan,AKADEMI KEPERAWATAN PEMERINTAH DAERAH KABUPATEN SERANG PROVINSI BANTEN,D-III
Keperawatan,AKADEMI KEPERAWATAN PEMERINTAH KABUPATEN ASAHAN KISARAN,D-III
Keperawatan,AKADEMI KEPERAWATAN PEMERINTAH KABUPATEN BELITUNG,D-III
Keperawatan,AKADEMI KEPERAWATAN PEMERINTAH KABUPATEN BUTON,D-III
Keperawatan,AKADEMI KEPERAWATAN PEMERINTAH KABUPATEN DAIRI SIDIKALANG PROVINSI SUMATERA UTARA,D-III
Keperawatan,AKADEMI KEPERAWATAN PEMERINTAH KABUPATEN KOTAWARINGIN TIMUR PROVINSI KALIMANTAN TENGAH,D-III
Keperawatan,AKADEMI KEPERAWATAN PEMERINTAH KABUPATEN LAMONGAN,D-III
Keperawatan,AKADEMI KEPERAWATAN PEMERINTAH KABUPATEN MUNA,D-III
Keperawatan,AKADEMI KEPERAWATAN PEMERINTAH KABUPATEN MUSI BANYUASIN,D-III
Keperawatan,AKADEMI KEPERAWATAN PEMERINTAH KABUPATEN PAMEKASAN,D-III
Keperawatan,AKADEMI KEPERAWATAN PEMERINTAH KABUPATEN WAJO,D-III
Keperawatan,AKADEMI KEPERAWATAN PEMERINTAH PROVINSI KALIMANTAN BARAT,D-III
Keperawatan,AKADEMI KEPERAWATAN PURNA BHAKTI HUSADA,D-III
Keperawatan,AKADEMI KEPERAWATAN RS DGI CIKINI,D-III
Keperawatan,AKADEMI KEPERAWATAN RS DUSTIRA,D-III
Keperawatan,AKADEMI KEPERAWATAN RS HUSADA,D-III
Keperawatan,AKADEMI KEPERAWATAN RSP TNI-AU JAKARTA,D-III
Keperawatan,AKADEMI KEPERAWATAN RUMAH SAKIT TK. II PELAMONIA,D-III
Keperawatan,AKADEMI KEPERAWATAN RUMKIT TINGKAT III MANADO,D-III
Keperawatan,AKADEMI KEPERAWATAN SAIFUDDIN ZUHRI,D-III
Keperawatan,AKADEMI KEPERAWATAN SAMAWA,D-III
Keperawatan,AKADEMI KEPERAWATAN SAWERIGADING PEMDA LUWU,D-III
Keperawatan,AKADEMI KEPERAWATAN TENAGA PEMBANGUNAN ARJUNA,D-III
Keperawatan,AKADEMI KEPERAWATAN TEUNGKU FAKINAH BANDA ACEH,D-III
Keperawatan,AKADEMI KEPERAWATAN YAKPERMAS BANYUMAS,D-III
Keperawatan,AKADEMI KEPERAWATAN YPIB MAJALENGKA,D-III
Keperawatan,AKADEMI KEPERAWATAN YPSBR MUARA BULIAN,D-III
Keperawatan,AKADEMI KEPERAWATAN YPTK SOLOK,D-III
Kepolisian,Akademi Kepolisian (AKPOL),D-IV
Keperawatan,AKADEMI KESEHATAN ASIH HUSADA,D-III
Keperawatan,AKADEMI KESEHATAN DINAS PENDIDIKAN DAN KEBUDAYAAN PROVINSI RIAU,D-III
Kesehatan Gigi Dan Mulut,AKADEMI KESEHATAN GIGI DITKESAD JAKARTA,D-III
Teknik Gigi,AKADEMI KESEHATAN GIGI KARYA ADI HUSADA MATARAM,D-III
Kesehatan Gigi,AKADEMI KESEHATAN GIGI KENDARI,D-III
Kesehatan Lingkungan,AKADEMI KESEHATAN LINGKUNGAN PEMERINTAH PROVINSI SUMATERA SELATAN,D-III
Kebidanan,AKADEMI KESEHATAN RUSTIDA,D-III
Kebidanan,AKADEMI KESEHATAN YAYASAN RUMAH SAKIT JAKARTA,D-III
Keperawatan,AKADEMI KESEHATAN YAYASAN RUMAH SAKIT JAKARTA,D-III
Keperawatan,AKADEMI KESEHATAN YAYASAN SAPTA BAKTI BENGKULU,D-III
Kebidanan,AKADEMI KESEHATAN YAYASAN SAPTA BAKTI BENGKULU,D-III
Tata Rias,Akademi Kesejahteraan Sosial AKK,D-III
Desain Busana,Akademi Kesejahteraan Sosial AKK,D-III
Seni Kuliner,Akademi Kesejahteraan Sosial AKK,D-III
Tata Rias,Akademi Kesejahteraan Sosial Ibu Kartini,D-III
Desain Busana,Akademi Kesejahteraan Sosial Ibu Kartini,D-III
Seni Kuliner,Akademi Kesejahteraan Sosial Ibu Kartini,D-III
Seni Tari,Akademi Kesenian Melayu Riau,D-III
Seni Teater,Akademi Kesenian Melayu Riau,D-III
Ketatalaksanaan Pelayaran Niaga Dan Kepel,Akademi Ketatalaksanaan Pelayaran Niaga Bahtera,D-III
Manajemen Transportasi Laut,Akademi Ketatalaksanaan Pelayaran Niaga Bahtera,D-III
Keuangan Dan Perbankan,Akademi Keuangan Dan Perbankan Borobudur,D-III
Keuangan Dan Perbankan,Akademi Keuangan Dan Perbankan Denpasar,D-III
Keuangan Dan Perbankan,Akademi Keuangan Dan Perbankan Effata Kupang,D-III
Keuangan Dan Perbankan,Akademi Keuangan Dan Perbankan Grha Arta Katulistiwa,D-III
Keuangan Dan Perbankan,Akademi Keuangan Dan Perbankan Mulia Darma Pratama,D-III
Keuangan Dan Perbankan,Akademi Keuangan Dan Perbankan Padang,D-III
Keuangan Dan Perbankan,Akademi Keuangan Perbankan Nusantara,D-III
Keuangan Dan Perbankan,Akademi Keuangan Perbankan Tahuna,D-III
Periklanan,Akademi Komunikasi Indonesia YPK,D-III
Penyiaran,Akademi Komunikasi Indonesia YPK,D-III
Hubungan Masyarakat,Akademi Komunikasi Indonesia YPK,D-III
Hubungan Masyarakat,Akademi Komunikasi Media Radio Dan Televisi (AKAMRTV) Jakarta,D-III
Penyiaran,Akademi Komunikasi Radya Binatama,D-III
Produksi Film Dan Televisi,Akademi Komunikasi SAE Indonesia,D-IV
Manajemen & Produksi Film Video & Tv,Akademi Komunikasi SAE Indonesia,D-III
Akuntansi Usaha Kecil Dan Menengah,Akademi Komunitas Dharma Bhakti Bangka,D-II
Teknik Perawatan Mesin,Akademi Komunitas Industri Manufaktur Bantaeng,D-II
Analisis Kimia,Akademi Komunitas Industri Manufaktur Bantaeng,D-II
Teknik Listrik Dan Instalasi,Akademi Komunitas Industri Manufaktur Bantaeng,D-II
Teknik Pengolahan Hasil Tambang Mineral Dan Batu Bara,Akademi Komunitas Industri Pertambangan Bukit Asam,D-I
Teknik Perawatan Alat Tambang,Akademi Komunitas Industri Pertambangan Bukit Asam,D-I
Teknik Pengoperasian Alat Tambang,Akademi Komunitas Industri Pertambangan Bukit Asam,D-I
Teknik Pembuatan Garmen,Akademi Komunitas Industri Tekstil Dan Produk Tekstil Surakarta,D-II
Teknik Pembuatan Benang,Akademi Komunitas Industri Tekstil Dan Produk Tekstil Surakarta,D-II
Teknik Pembuatan Kain Tenun,Akademi Komunitas Industri Tekstil Dan Produk Tekstil Surakarta,D-II
Tata Hidangan,Akademi Komunitas Manajemen Perhotelan Indonesia,D-I
Tata Boga,Akademi Komunitas Manajemen Perhotelan Indonesia,D-I
Akomodasi,Akademi Komunitas Manajemen Perhotelan Indonesia,D-II
Instalasi Dan Pemeliharaan Jaringan Listrik,Akademi Komunitas Negeri Aceh Barat,D-II
Teknologi Pengelasan Logam,Akademi Komunitas Negeri Aceh Barat,D-II
Pemeliharaan Kendaraan Ringan,Akademi Komunitas Negeri Pacitan,D-II
Pemeliharaan Komputer Dan Jaringan,Akademi Komunitas Negeri Pacitan,D-II
Tata Laksana Studio Produksi,Akademi Komunitas Negeri Pacitan,D-II
Penyuntingan Audio Dan Video,Akademi Komunitas Negeri Putra Sang Fajar Blitar,D-II
Administrasi Server Dan Jaringan Komputer,Akademi Komunitas Negeri Putra Sang Fajar Blitar,D-II
Pengolahan Hasil Ternak Unggas,Akademi Komunitas Negeri Putra Sang Fajar Blitar,D-II
Budidaya  Perikanan Air Tawar,Akademi Komunitas Negeri Rejang Lebong,D-II
Budidaya Tanaman Hortikultura,Akademi Komunitas Negeri Rejang Lebong,D-II
Teknologi Produksi Ternak Unggas,Akademi Komunitas Negeri Rejang Lebong,D-II
Teknik Alat Berat,Akademi Komunitas Olat Maras,D-I
Pemeliharaan Kelapa Sawit,Akademi Komunitas Perkebunan Yogyakarta,D-I
Teknik Perawatan Mesin Dan Peralatan Industri,Akademi Komunitas Semen Indonesia,D-II
Teknik Operasional Mesin Dan Peralatan Industri,Akademi Komunitas Semen Indonesia,D-II
Otomasi Perkantoran,Akademi Komunitas Semen Indonesia,D-II
Otomasi Perkantoran,Akademi Komunitas Semen Indonesia Rembang,D-II
Teknik Operasi Mesin Dan Peralatan Industri,Akademi Komunitas Semen Indonesia Rembang,D-II
Teknik Pemeliharaan Mesin Dan Peralatan Industri,Akademi Komunitas Semen Indonesia Rembang,D-II
Teknik Pemeliharaan Mesin Otomasi,Akademi Komunitas Toyota Indonesia,D-I
Seni Kuliner,Akademi Kuliner Dan Patiseri Ottimmo Internasional,D-III
Tata Boga,Akademi Kuliner Monas Pasifik,D-III
Manajemen Administrasi,Akademi Manajemen Administrasi (AMA) Yogyakarta,D-III
Manajemen Administrasi,Akademi Manajemen Administrasi Dharmala,D-III
Manajemen,Akademi Manajemen Administrasi Yogyakarta,D-III
Manajemen Administrasi,Akademi Manajemen Administrasi YPK Yogyakarta,D-III
Manajemen,Akademi Manajemen Administrasi YPK Yogyakarta,D-III
Manajemen Administrasi,Akademi Manajemen Belitung,D-III
Manajemen Informatika,Akademi Manajemen Belitung,D-III
Manajemen Perusahaan,Akademi Manajemen Bumi Sebalo Bengkayang,D-III
Manajemen Informatika,Akademi Manajemen Informatika &amp; Komputer Jaya Nusa,D-III
Manajemen Informatika,Akademi Manajemen Informatika &amp; Komputer Universal,D-III
Manajemen Informatika,Akademi Manajemen Informatika Dan Komputer Al-Muslim,D-III
Komputerisasi Akuntansi,Akademi Manajemen Informatika Dan Komputer Al-Muslim,D-III
Manajemen Informatika,Akademi Manajemen Informatika Dan Komputer Bogor,D-III
Komputerisasi Akuntansi,Akademi Manajemen Informatika Dan Komputer BSI Jakarta,D-III
Manajemen Informatika,Akademi Manajemen Informatika Dan Komputer BSI Karawang,D-III
Komputerisasi Akuntansi,Akademi Manajemen Informatika Dan Komputer BSI Karawang,D-III
Manajemen Informatika,Akademi Manajemen Informatika Dan Komputer BSI Pontianak,D-III
Komputerisasi Akuntansi,Akademi Manajemen Informatika Dan Komputer BSI Pontianak,D-III
Komputerisasi Akuntansi,Akademi Manajemen Informatika Dan Komputer Cipta Darma,D-III
Manajemen Informatika,Akademi Manajemen Informatika Dan Komputer Dumai,D-III
Teknik Informatika,Akademi Manajemen Informatika Dan Komputer Garut,D-III
Manajemen Informatika,Akademi Manajemen Informatika Dan Komputer Garut,D-III
Manajemen Informatika,Akademi Manajemen Informatika Dan Komputer Hass,D-III
Manajemen Informatika,Akademi Manajemen Informatika Dan Komputer Imelda,D-III
Komputerisasi Akuntansi,Akademi Manajemen Informatika Dan Komputer Imelda,D-III
Manajemen Informatika,Akademi Manajemen Informatika Dan Komputer Jakarta Teknologi Cipta,D-III
Teknik Komputer,Akademi Manajemen Informatika Dan Komputer Kosgoro,D-III
Manajemen Informatika,Akademi Manajemen Informatika Dan Komputer Kosgoro,D-III
Manajemen Informatika,Akademi Manajemen Informatika Dan Komputer Lamappapoleonro Soppeng,D-III
Manajemen Informatika,Akademi Manajemen Informatika Dan Komputer Lampung,D-III
Manajemen Informatika,Akademi Manajemen Informatika Dan Komputer Luwuk Banggai,D-III
Komputerisasi Akuntansi,Akademi Manajemen Informatika Dan Komputer Luwuk Banggai,D-III
Teknik Komputer,Akademi Manajemen Informatika Dan Komputer Mdp,D-III
Manajemen Informatika,Akademi Manajemen Informatika Dan Komputer Mdp,D-III
Teknik Informatika,Akademi Manajemen Informatika Dan Komputer Medan Business Polytechnic,D-III
Teknik Informatika,Akademi Manajemen Informatika Dan Komputer New Media,D-III
Manajemen Informatika,Akademi Manajemen Informatika Dan Komputer New Media,D-III
Manajemen Informatika,Akademi Manajemen Informatika Dan Komputer PGRI Kebumen,D-III
Manajemen Informatika,Akademi Manajemen Informatika Dan Komputer Raharja Informatika,D-III
Manajemen Informatika,Akademi Manajemen Informatika Dan Komputer Royal,D-III
Teknik Komputer,Akademi Manajemen Informatika Dan Komputer Selat Panjang,D-III
Manajemen Informatika,Akademi Manajemen Informatika Dan Komputer Selat Panjang,D-III
Manajemen Informatika,Akademi Manajemen Informatika Dan Komputer Serang,D-III
Manajemen Informatika,Akademi Manajemen Informatika Dan Komputer Sigma,D-I
Teknik Informatika,Akademi Manajemen Informatika Dan Komputer Stiekom Sumatera Utara,D-III
Sistem Informasi Akuntansi,Akademi Manajemen Informatika Dan Komputer Taruna,D-III
Teknologi Informasi,Akademi Manajemen Informatika Dan Komputer Taruna,D-III
Sistem Informasi,Akademi Manajemen Informatika Dan Komputer Taruna,D-III
Manajemen Informatika,Akademi Manajemen Informatika Dan Komputer Veteran Purwokerto,D-III
Teknik Komputer,Akademi Manajemen Informatika Dan Komputer Yapenas Kendari,D-III
Teknik Informatika,Akademi Manajemen Informatika Dan Komputer Yapenas Kendari,D-III
Manajemen Informatika,Akademi Manajemen Informatika Dan Komputer YMI Tegal,D-III
Manajemen Informatika,Akademi Manajemen Informatika Dan Komputer YPAT,D-III
Akuntansi,Akademi Manajemen Keuangan BSI Jakarta,D-III
Manajemen Perpajakan,Akademi Manajemen Keuangan BSI Jakarta,D-III
Manajemen Informatika,Akademi Manajemen Komputer Dan Informatika Ketapang,D-III
Manajemen Keuangan,Akademi Manajemen Koperasi Tantular,D-III
Manajemen Perusahaan,Akademi Manajemen Perusahaan Panca Bhakti,D-III
Manajemen Perdagangan,Akademi Manajemen Putra Jaya,D-III
Ketatalaksanaan Pelayaran Niaga Dan Kepel,Akademi Maritim Aceh Darussalam,D-III
Ketatalaksanaan Pelayaran Niaga Dan Kepelabuhan,Akademi Maritim Belawan,D-III
Teknika,Akademi Maritim Belawan,D-III
Nautika,Akademi Maritim Belawan,D-III
Ketatalaksanaan Pelayaran Niaga Dan Kepel,Akademi Maritim Bina Bahari,D-III
Nautika,Akademi Maritim Cirebon,D-III
Teknika,Akademi Maritim Cirebon,D-III
Ketatalaksanaan Pelayaran Niaga Dan Kepelabuhan,Akademi Maritim Cirebon,D-III
Teknika,Akademi Maritim Djadajat,D-III
Nautika,Akademi Maritim Djadajat,D-III
Nautika,Akademi Maritim Indonesia AIPI,D-III
Teknika,Akademi Maritim Indonesia AIPI,D-III
Ketatalaksanaan Pelayaran Niaga Dan Kepelabuhan,Akademi Maritim Indonesia AIPI,D-III
Nautika,Akademi Maritim Indonesia Medan,D-III
Teknika,Akademi Maritim Indonesia Medan,D-III
Ketatalaksanaan Pelayaran Niaga Dan Kepelabuhan,Akademi Maritim Indonesia Medan,D-III
Teknika,Akademi Maritim Nasional Jaya,D-III
Ketatalaksanaan Pelayaran Niaga Dan Kepelabuhan,Akademi Maritim Nasional Jaya,D-III
Nautika,Akademi Maritim Nasional Jaya,D-III
